Query_ID,Query_Text,Department,Priority_Label
3434,I am calm but my financial aid refund was sent to a bank account i closed last year. I need this corrected to pay my rent by tomorrow.,Finance Office,High
574,I CANT FIND MY ADMISSIONS INTERVIEW LINK AND IT STARTS IN FIVE MINUTES HELP ME NOW!!!!!!!,Admissions,Medium
6129,is there any way to change my major from art to engineering? i've decided that i want to build things instead.,Academic Office,Medium
1347,I am an international student and I'm confused about the tuition payment options for wire transfers from South Korea.,Finance Office,Medium
1165,The lock on my dorm room door is broken and i cannot get out. i have a medical appointment in 20 minutes. very calm.,Student Housing,High
4225,I am unable to access the VPN and I have a project due on the secure server in 3 hours. I need access restored.,IT Support,High
7371,My transcript is being held for a library book I returned. I have the receipt. I need the transcript for a deadline in 5 hours.,Academic Office,High
7586,I am an international student and I'm having trouble with the visa application process. I need an updated I-20 by tomorrow to keep my appointment.,Admissions,High
2186,the lock on the main entrance to the dorm building is broken and it won't lock at all tonight. this seems like a security risk.,Student Housing,High
5331,The student health center is closed today. Is there an after-hours nurse line I can call?,Administration,Medium
6987,PLEASE RESPOND ASAP I NEED TO KNOW IF I CAN BRING MY CAT TO THE DORM IF I HAVE A DOCTORS NOTE FOR EMOTIONAL SUPPORT!!!!!!!,Student Housing,Medium
7682,"hi, i want to know if there r any clubs for people who like vintage typewriters? idk where to look.",Administration,Low
318,hi id like to know the policy for reserving a study room for a group project next month. no rush.,Library,Low
2178,Admissions: My scholarship award letter disappeared from the portal. I need it to secure my visa by tomorrow morning.,Admissions,High
1331,i am at the pharmacy and my student health insurance is showing as 'Cancelled'. i need my heart medication right now.,Finance Office,High
423,Who is responsible for the upkeep of the campus sundial near the library? It looks slightly off.,Administration,Low
695,i am calm but my student visa i-20 form was mailed with the wrong birthdate and my embassy interview is tomorrow morning.,Admissions,High
812,admissions document verification delayed,Admissions,Medium
5959,Are there any student positions available at the campus cafeteria for the winter term?,Administration,Low
2100,need urgent enrollment certificate today for embassy,Administration,High
4038,Can I get a list of all the student organizations that are focused on diversity and inclusion?,Administration,Low
6716,PLEASE HELP ME!!!!!!!! I CANT FIND MY STUDENT ID CARD AND I NEED IT TO GET INTO THE DINING HALL I AM SO HUNGRY!!!!!!!,IT Support,Medium
4974,i have a question about the university's transfer policy. will my credits from my old school count?,Admissions,Low
6584,"Regarding my application for the fall semester, I have updated my phone number. Please update your records.",Admissions,Low
6902,"dorm window stuck, pls advise maintenance",Student Housing,Medium
3482,The software 'EndNote' is not working correctly on the library loaner laptops. It keeps crashing when I open it.,IT Support,Medium
4995,dorm common area WiFi signal inquiry,Student Housing,Low
5108,admission interview scheduling clarification,Admissions,Medium
6303,billing summary unclear after recent payment,Finance Office,Medium
3620,The bathroom light switch in my dorm is broken.,Student Housing,Medium
7489,the application portal for the doctoral program is closing in 15 minutes and it won't let me upload my final research proposal.,Admissions,High
6844,MY MFA TOKEN EXPIRED AND I HAVE AN ONLINE EXAM STARTING IN 10 MINUTES!!!! PLEASE RESET IT ASAP!!!!!,IT Support,High
1034,Can someone tell me if the campus gym is open on Labor Day? I need to know before I walk all the way over there.,Administration,Low
90,heater weak in dorm room,Student Housing,Medium
2998,can i get a library card for my spouse?,Library,Low
8018,I am calm but my graduation status has been revoked due to a missing administrative fee that I paid last month. Commencement is tomorrow.,Administration,High
730,I am an international student and I'm confused about the health insurance waiver process and deadlines.,Administration,Medium
604,I am writing to inquire about the possibility of deferring my enrollment to the fall semester due to personal reasons. Thank you.,Admissions,Medium
2289,invoice breakdown confusing to understand,Finance Office,Medium
6082,Official transcript for visa needed.,Administration,Medium
4843,I would like to request a change of advisor because my current advisor is never available.,Academic Office,Medium
3409,The ceiling in the common room is sagging significantly and there is a large wet spot. It looks like it will fall soon.,Student Housing,High
3068,The light in my dorm hallway is flickering and it's making it hard to walk at night.,Student Housing,Low
6615,I am writing to respectfully inform you that the heater in my dorm is emitting smoke. I have evacuated and am waiting for a response at the front desk.,Student Housing,High
5995,To the Admissions Office: My high school transcript was flagged as 'Incomplete' despite it being final. I will be de-enrolled tonight if not fixed.,Admissions,High
428,the lock on the main entrance to the dorm is broken and it won't lock at all tonight. we need a locksmith.,Student Housing,High
7895,hi id like to know the policy on bringing a goldfish to the dorms? my mom wants to buy me one for my bday.,Student Housing,Low
1286,dorm heater not heating enough,Student Housing,Medium
3060,I cannot access my virtual machine for my systems class. The final lab is due in 6 hours and it's 20% of my grade.,IT Support,High
4839,"hi, can u tell me the average weight of the desks in the dorms? i'm trying to decide if i should bring my own chair.",Student Housing,Low
6432,I need help with my application for a student grant for undergraduate research.,Academic Office,Low
3622,session timeout happens too frequently on portal,IT Support,Medium
7854,I'm having trouble with the library's online search for government publications.,Library,Low
203,Grades missing in portal.,Academic Office,High
2287,PLEASE HELP ME I THINK I LEFT MY PURSE IN THE LIBRARY AND I HAVE NO MONEY TO GET HOME PLEASE LOOK FOR IT NOW!!!!!!!,Library,Medium
4571,I am an international applicant and I'm having trouble with the document upload feature on the university's application portal.,Admissions,Medium
1320,i'm having trouble with the university's email on my android phone. it is not syncing any messages from my advisor.,IT Support,Medium
7258,is there any way to change my major from art to engineering? i've decided that i want to build things.,Academic Office,Medium
5142,"I received an email stating my application was incomplete because of a missing letter of recommendation, but my professor sent it last week.",Admissions,Medium
8350,i need to update my social security number on my file because it was entered incorrectly during the application.,Administration,Medium
1592,URGENT!!!!! I NEED TO KNOW IF THE LIBRARY IS OPEN ON THE FOURTH OF JULY PLS PLS PLS PLS RESPOND!!!!!!!,Library,Low
1822,There is a massive flood in the student housing basement and the laundry room is completely under water.,Student Housing,High
372,wardrobe door slightly misaligned in dorm,Student Housing,Medium
3768,My dorm room door lock is malfunctioning and I am currently trapped inside my room. I have an exam starting in 15 minutes.,Student Housing,High
7823,status says pending though docs uploaded,Admissions,Medium
33,i want to apply for a student job in the library. where can i find the application form?,Library,Low
1168,hello i'm realy sorry to bother u but could u please tell me if the library has any staplers on the 3rd floor?? i need one for my essay next week thx!!,Library,Low
1329,Dorm faucet dripping water.,Student Housing,Medium
6230,grade submission fails repeatedly before cutoff,Academic Office,High
5648,Just a quick note to say that I really appreciate the new coffee machine in the lobby. It's great!,Administration,Low
4409,library info on study space availability,Library,Low
4827,I'm having trouble with the air conditioning in the library. It's very cold and I'm having trouble concentrating.,Library,Low
2058,What are the requirements for applying for a summer internship through the university's career center?,Administration,Low
5761,I'm having trouble with the library's online search for historical maps and charts.,Library,Low
2977,Are there any plans to install more bike racks near the finance building in the next few years?,Finance Office,Low
7456,I am an international student and my health insurance is showing as active but I was charged for a new policy on my tuition bill.,Finance Office,Medium
120,I would like to know the policy for hosting guests in the student dormitories during the weekend.,Student Housing,Low
5999,I'm locked out of my dorm and my insulin is inside. I need someone to let me in now.,Student Housing,High
7748,hi i lost my id card and need a new one b4 next week exams. thx.,Administration,Medium
4515,is there any way to waive the student activity fee since i am taking all my classes online?,Finance Office,Medium
1563,The lock on my dorm room window is broken and anyone could climb in from the fire escape. I am currently waiting in my room for maintenance.,Student Housing,High
505,"hi, do the dorms come with mirrors or should i buy one myself? thx.",Student Housing,Low
7314,ID card not working and exam starts soon,Administration,High
1114,"The bursar's office is showing a $0 balance for my account, but i know i owe $5,000 for tuition. i don't want to be penalized for their error later.",Finance Office,High
6939,dorm keycard access issue,Student Housing,Medium
906,The university's system for processing graduation clearances is down and i need my verification for a job starting tomorrow.,Administration,High
2731,I have been locked out of my student email account. I have a job interview via Zoom via a link in that email in 30 minutes.,IT Support,High
6640,admission application correction guidance,Admissions,Medium
7119,i am calm but i need to report that my graduation certificate has my name spelled wrong and i need the corrected version for my visa interview tomorrow morning at 8am.,Administration,High
4143,I am calm but the sink in my dorm is overflowing and the water is reaching the electrical outlets. i need maintenance.,Student Housing,High
2929,I would like to know if my high school's counselor recommendation was received. It's the last item on my checklist.,Admissions,Medium
5833,"the scholarship application requires a signature from your office, and the window closes in 4 hours. i am currently at the front desk.",Finance Office,High
545,URGENT!!!!! I ACCIDENTALLY EMAILED MY PROFESSOR A PICTURE OF MY CAT INSTEAD OF MY HOMEWORK PLS DELETE IT NOW!!!!!!,IT Support,Low
1007,I am a prospective student from France. Do I need to translate my high school transcripts?,Admissions,Low
3181,exam guidelines clarification needed,Academic Office,Medium
5075,the carpet in the study lounge has a huge wet spot that has been there for days. it looks like a leak from the ceiling.,Student Housing,Medium
2942,Does the library have a collection of board games that students can borrow for the weekend?,Library,Low
4783,"my financial aid was reduced by $5,000 today without notice. i have no way to pay the remaining balance due tomorrow.",Finance Office,High
5107,My roommate is keeping a lizard in our room without permission and I'm worried about it escaping.,Student Housing,Low
5433,library book recommendation request,Library,Low
1876,There is a massive leak in the student housing bathroom and the water is dripping into the ceiling of the floor directly below.,Student Housing,High
4672,dorm furniture repair request,Student Housing,Medium
8040,Official degree confirmation letter needed.,Administration,Medium
352,I would like to request a copy of the university's policy on drug and alcohol use.,Administration,Low
1666,The ceiling in my dorm room is leaking and it's getting on my bed.,Student Housing,High
5293,I am having a problem with the VPN software. It won't connect and I need to access the research database for my paper.,IT Support,Medium
2411,hey can u check the balance of my flex points? i think it might be wrong. thx.,Finance Office,Medium
8650,i'm unable to access the online library resources while i'm off-campus. it keeps asking for a login that doesn't work.,Library,Medium
7097,I am reporting a breach. I can see the financial records of other students when I log into my billing portal.,IT Support,High
1556,I would like to know the criteria for the dean's list for the engineering major.,Academic Office,Low
2433,PLEASE HELP ME I THINK I LEFT MY GLASSES IN THE STUDY HALL AND I CANT SEE ANYTHING TO DO MY HOMEWORK PLS PLS PLS!!!!!,Library,Medium
2534,Are there any plans to change the color of the student id cards for the 2030 class?,Administration,Low
396,I would like to request a copy of the university's diversity and inclusion statement.,Administration,Low
8217,The bath mat in my dorm bathroom is old.,Student Housing,Low
3530,The university's system for submitting health insurance waivers is offline. I'd like to try again tomorrow.,Finance Office,Medium
8144,The radiator in my dorm room is making a loud banging noise.,Student Housing,Low
5553,i want to know if the library has any group study rooms available for today.,Library,Low
892,MY COMPUTER IS MAKING A WEIRD HUMMING NOISE AND I AM SCARED IT WILL EXPLODE HELP ME!!!!!!,IT Support,Low
4553,I would like to know the deadline for applying for a student ambassador position.,Admissions,Low
957,The campus safety sirens are going off but there's no alert on the portal. Is there an active threat we need to know about?,Administration,High
5673,I would like to report that the university's data breach has exposed my personal banking details. I need an immediate account freeze.,Administration,High
6310,I noticed a significant leak in the roof of the rare books section of the library. It's currently raining and some manuscripts might be at risk.,Library,High
3465,I would like to request a copy of the university's policy on student financial aid from the finance office.,Finance Office,Low
406,window in dorm room does not close fully,Student Housing,Medium
1502,I'm extremely upset!! My grade for the midterm is still not appearing on the portal and I need to know it NOW or I will lose my mind!!,Academic Office,Medium
4714,my immigration documents were signed by the wrong officer and the border agent is holding me. i need a new signature right now.,Admissions,High
6193,my graduation application was denied because of a typo in my student ID. i need to talk to someone before the ceremony on saturday.,Academic Office,High
3350,The graduation application portal is rejecting my final credits even though my advisor approved them. The window for May graduation closes in 2 hours.,Academic Office,High
8847,hi i need a copy of my 1098-T for my taxes. where do i find it?,Finance Office,Medium
4610,idk how to find the course syllabus for my history class on the new portal. can someone help me locate it?,Academic Office,Low
7290,PLEASE RESPOND ASAP I NEED TO KNOW IF I CAN USE THE UNIVERSITY'S GYM IF I AM ONLY TAKING ONE CLASS!!!!!!!,Admissions,Low
1762,"hi, can u tell me if the IT department has any old mouse pads they r giving away? thx.",IT Support,Low
1355,"Forgot MFA, portal inaccessible.",IT Support,High
1175,I would like to request a new bookshelf for my dorm room because my current one is very full.,Student Housing,Low
